"reference","text","translation"
"Psalm 27:4","One thing I ask from the Lord,\n    this only do I seek:\nthat I may dwell in the house of the Lord\n    all the days of my life,\nto gaze on the beauty of the Lord\n    and to seek him in his temple.","NIV"
"Luke 2:37","She never left the temple but worshiped night and day, fasting and praying.","NIV"
"Matthew 16:26","What good will it be for someone to gain the whole world, yet forfeit their soul? Or what can anyone give in exchange for their soul?","NIV"
"Luke 4:40","At sunset, the people brought to Jesus all who had various kinds of sickness, and laying his hands on each one, he healed them.","NIV"
"Luke 4:43","But he said, “I must proclaim the good news of the kingdom of God to the other towns also, because that is why I was sent.”","NIV"
"Luke 6:18-19","Those troubled by impure spirits were cured, and the people all tried to touch him, because power was coming from him and healing them all.","NIV"
"Luke 9:1-2","When Jesus had called the Twelve together, he gave them power and authority to drive out all demons and to cure diseases, and he sent them out to proclaim the kingdom of God and to heal the sick. ","NIV"
"Luke 10:2","And he said to them, “The harvest is plentiful, but the laborers are few. Therefore pray earnestly to the Lord of the harvest to send out laborers into his harvest. ","ESV"
"Luke 11:13","If you then, though you are evil, know how to give good gifts to your children, how much more will your Father in heaven give the Holy Spirit to those who ask him!","NIV"
"Luke 13:24","Make every effort to enter through the narrow door, because many, I tell you, will try to enter and will not be able to. ","NIV"
"Luke 14:27","And whoever does not carry their cross and follow me cannot be my disciple.","NIV"
"Luke 16:13","No one can serve two masters. Either you will hate the one and love the other, or you will be devoted to the one and despise the other. You cannot serve both God and money.","NIV"
"Luke 18:8","When the Son of Man comes, will he find faith on the earth?","NIV"
"Luke 3:16","He will baptize you with[b] the Holy Spirit and fire.","NIV"
"Luke 6:18-19","Those troubled by impure spirits were cured, and the people all tried to touch him, because power was coming from him and healing them all.","NIV"
"Luke 8:46","But Jesus said, “Someone touched me; I know that power has gone out from me.”","NIV"
"Luke 9:62","Jesus replied, “No one who puts a hand to the plow and looks back is fit for service in the kingdom of God.”","NIV"
"Luke 12:33","Sell your possessions and give to the poor. ","NIV"
"Luke 14:33","In the same way, those of you who do not give up everything you have cannot be my disciples.","NIV"
"Luke 18:24","Jesus looked at him and said, “How hard it is for the rich to enter the kingdom of God!","NIV"
"Matthew 3:11","“I baptize you with water for repentance. But after me comes one who is more powerful than I, whose sandals I am not worthy to carry. He will baptize you with the Holy Spirit and fire.","NIV"
"Matthew 4:17","From that time on Jesus began to preach, “Repent, for the kingdom of heaven has come near.”","NIV"
"Matthew 4:24","… people brought to him all who were ill with various diseases, those suffering severe pain, the demon-possessed, those having seizures, and the paralyzed; and he healed them.","NIV"
