order,book,chapter,verse,translation,text
19,Psalms,23,1,NIV,"The Lord is my shepherd, I lack nothing."
19,Psalms,23,2,NIV,"He makes me lie down in green pastures,<br> he leads me beside quiet waters,"
19,Psalms,23,3,NIV,he refreshes my soul.<br> He guides me along the right paths<br> for his name’s sake.
19,Psalms,23,4,NIV,"Even though I walk<br> through the darkest valley,<br> I will fear no evil,<br>for you are with me;<br> your rod and your staff,<br> they comfort me."
19,Psalms,23,5,NIV,You prepare a table before me<br> in the presence of my enemies.<br>You anoint my head with oil;<br> my cup overflows.
19,Psalms,23,6,NIV,"Surely your goodness and love will follow me<br> all the days of my life,<br> and I will dwell in the house of the Lord forever."
19,Psalms,27,1,NIV,The Lord is my light and my salvation—<br> whom shall I fear?<br>The Lord is the stronghold of my life—<br> of whom shall I be afraid?
19,Psalms,27,2,NIV,"When the wicked advance against me<br> to devour me,<br>it is my enemies and my foes<br> who will stumble and fall."
19,Psalms,27,3,NIV,"Though an army besiege me,<br> my heart will not fear;<br>though war break out against me,<br> even then I will be confident."
19,Psalms,27,4,NIV,"One thing I ask from the Lord,<br> this only do I seek:<br>that I may dwell in the house of the Lord<br> all the days of my life,<br>to gaze on the beauty of the Lord<br> and to seek him in his temple."
19,Psalms,27,5,NIV,For in the day of trouble<br> he will keep me safe in his dwelling;<br>he will hide me in the shelter of his sacred tent<br> and set me high upon a rock.
19,Psalms,27,6,NIV,Then my head will be exalted<br> above the enemies who surround me;<br>at his sacred tent I will sacrifice with shouts of joy;<br> I will sing and make music to the Lord.
19,Psalms,27,7,NIV,"Hear my voice when I call, Lord;<br> be merciful to me and answer me."
19,Psalms,27,8,NIV,"My heart says of you, “Seek his face!”<br> Your face, Lord, I will seek."
19,Psalms,27,9,NIV,"Do not hide your face from me,<br> do not turn your servant away in anger;<br> you have been my helper.<br>Do not reject me or forsake me,<br> God my Savior."
19,Psalms,27,10,NIV,"Though my father and mother forsake me,<br> the Lord will receive me."
